station_id,station_name,latitude,longitude,data_start,data_end,country_id
94367,Mackay Racecourse,-21.2,149.2,1750-02-01,2024-12-30,6
94866,Melbourne Airport,-37.7,144.8,1750-02-01,2024-12-30,6
94865,Point Cook,-37.9,144.8,1750-02-01,2024-12-29,6
94842,Cape Otway,-38.9,143.5,1750-02-01,2024-12-30,6
94827,Nhill Aerodrome,-36.3,141.6,1750-02-01,2024-12-30,6
94826,Cape Nelson,-38.4,141.5,1750-02-01,2024-12-30,6
94814,Strathalbyn,-35.3,138.9,1750-02-01,2024-10-30,6
94812,Robe Post Office,-37.1667,139.75,1750-02-01,2024-12-30,6
95964,Low Head,-41.1,146.8,1750-02-01,2024-04-19,6
94786,Port Macquarie Airport,-31.4333,152.85,1750-02-01,2024-12-12,6
94776,Williamtown,-32.8,151.8,1750-02-01,2024-12-30,6
94767,Sydney Airport,-33.9,151.2,1750-02-01,2024-10-26,6
94750,Nowra,-34.9,150.5,1750-02-01,2024-12-30,6
94711,Cobar,-31.5,145.8,1750-02-01,2024-12-30,6
94681,Nuriootpa,-34.5,139.0,1750-02-01,2024-12-30,6
94659,Woomera,-31.2,136.8,1750-02-01,2024-12-30,6
94655,Tarcoola,-30.7,134.6,1750-02-01,2024-12-30,6
94647,Eucla Amo,-31.6833,128.9,1750-02-01,2024-12-30,6
94638,Esperance Harbour,-33.9,121.9,1750-02-01,2024-12-30,6
94312,Port Hedland,-20.4,118.6,1750-02-01,2024-12-30,6
94637,Kalgoorlie-Boulder,-30.8,121.5,1750-02-01,2024-12-30,6
94610,Perth Airport,-31.9,116.0,1750-02-01,2024-12-30,6
94602,Rottnest Island,-32.0,115.5,1750-02-01,2024-12-30,6
94317,Newman Airport,-23.4,119.8,1750-02-01,2024-12-30,6
94302,Learmonth,-22.2,114.1,1750-02-01,2024-12-30,6
94893,Wilsons Promontory,-39.1,146.4,1750-02-01,2024-12-30,6
94910,Wagga Wagga,-35.2,147.5,1750-02-01,2024-10-25,6
94968,Launceston Airport,-41.5333,147.2,1750-02-01,2024-12-30,6
95966,Launceston Airport,-41.5,147.2,1750-02-01,2024-04-19,6
95959,Liawenee,-41.9,146.7,1750-02-01,2024-04-19,6
95869,Deniliquin,-35.6,144.9,1750-02-01,2024-04-18,6
95784,Taree Airport,-31.9,152.5,1750-02-01,2024-04-18,6
95719,Dubbo,-32.2,148.6,1750-02-01,2024-04-19,6
94100,Kalumburu,-14.3,126.6,1750-02-01,2024-10-30,6
94131,Tindal,-14.5,132.4,1750-02-01,2024-12-30,6
94150,Gove Airport,-12.3,136.8,1750-02-01,2024-12-30,6
94170,Weipa,-12.7,141.9,1750-02-01,2024-12-30,6
94203,Broome Port,-18.0,122.2,1750-02-01,2024-12-30,6
94238,Tennant Creek,-19.6,134.2,1750-02-01,2024-12-30,6
94601,Cape Leeuwin,-34.4,115.1,1750-02-01,2024-12-30,6
95670,Snowtown,-33.8,138.2,1750-02-01,2024-10-30,6
95646,Forrest,-30.8,128.1,1750-02-01,2024-12-30,6
94274,Georgetown Airport,-18.3,143.5,1750-02-01,2024-11-28,6
94294,Townsville,-19.2,146.8,1750-02-01,2024-12-30,6
95640,Wandering,-32.7,116.7,1750-02-01,2024-12-30,6
95625,Cunderdin Airport,-31.6,117.2,1750-02-01,2024-12-30,6
95529,Miles,-26.7,150.2,1750-02-01,2024-12-22,6
95527,Moree,-29.5,149.8,1750-02-01,2024-12-30,6
95482,Birdsville,-25.9,139.3,1750-02-01,2024-12-30,6
94300,Carnarvon,-24.9,113.7,1750-02-01,2024-12-30,6
94983,Larapuna (Eddystone Point),-41.0,148.3,1750-02-01,2024-12-30,6
94975,Hobart Airport,-42.8,147.5,1750-02-01,2024-12-30,6
94260,Burketown Airport,-17.7,139.5,1750-02-01,2024-11-09,6
94589,Yamba,-29.4,153.4,1750-02-01,2024-10-25,6
94374,Rockhampton,-23.4,150.5,1750-02-01,2024-12-30,6
94541,Inverell RS,-29.8,151.1,1750-02-01,2024-10-25,6
94346,Longreach,-23.4,144.3,1750-02-01,2024-12-30,6
94332,Mount Isa,-20.7,139.5,1750-02-01,2024-12-30,6
94476,Oodnadatta,-27.6,135.4,1750-02-01,2024-12-30,6
94517,St George,-28.0,148.6,1750-02-01,2024-12-22,6
94570,Tewantin,-26.4,153.0,1750-02-01,2024-12-22,6
94510,Charleville,-26.4,146.3,1750-02-01,2024-12-30,6
94326,Alice Springs Airport,-23.8,133.9,1750-02-01,2024-12-30,6
94461,Giles,-25.0,128.3,1750-02-01,2024-12-29,6
94380,Gladstone,-23.9,151.3,1750-02-01,2024-11-28,6
10962,Hohenpeissenberg,47.8,11.0167,1781-01-01,2024-04-21,53
D2444,Jena (Sternwarte),50.9251,11.583,1821-01-01,2024-04-21,53
06235,De Kooy,52.9167,4.7833,1850-12-31,2024-04-19,101
10093,Putbus,54.3667,13.4833,1853-07-01,2024-04-21,53
11035,Wien / Hohe Warte,48.25,16.3667,1855-02-01,2024-04-20,7
61612,Podor,16.65,-14.9667,1857-03-01,2024-04-17,122
72743,Marquette,46.5333,-87.55,1857-09-01,2024-04-13,149
10113,Norderney,53.7167,7.15,1858-03-01,2024-04-21,53
02562,Linkoping Malmen Airport,58.4,15.5167,1858-12-01,2024-02-29,134
02485,Stockholm Observatoriet,59.5667,18.1,1859-01-01,2024-02-29,134
02196,Haparanda,65.8333,24.15,1859-07-16,2024-02-29,134
02590,Visby Airport,57.6667,18.35,1859-08-01,2024-02-29,134
10499,Goerlitz,51.1667,14.95,1860-01-01,2024-04-21,53
02433,Falun,60.6167,15.6667,1860-01-01,2024-02-29,134
14236,Zagreb / Gric,45.8167,15.9833,1860-12-30,2024-04-20,34
94821,Mount Gambier,-37.7,140.8,1861-01-01,2024-12-30,6
KTAVN,Sondershausen,51.352,10.9059,1861-01-01,2024-04-21,53
D2928,Leipzig-Holzhausen,51.3151,12.4462,1863-12-01,2024-04-21,53
D5797,Lichtentanne,50.6878,12.4329,1863-12-03,2024-04-21,53
06717,Grand St. Bernard / Grand Saint Bernard,45.868900000000004,7.1708,1864-01-01,2024-04-19,135
D2578,Kirchdorf/Poel,53.9995,11.4341,1865-01-01,2024-04-21,53
03969,Dublin Airport,53.4333,-6.25,1867-01-01,2024-04-15,65
43497,Hambantota,6.1167,81.1333,1869-01-01,2024-02-12,132
43473,Nuwara Eliya,6.9667,80.7667,1869-02-01,2024-01-15,132
72648,Escanaba,45.75,-87.0333,1871-05-25,2024-04-18,149
72422,Lexington Blue Grass Airport,38.0333,-84.6,1872-10-11,2024-12-30,149
03026,Stornoway,58.2167,-6.3167,1873-07-01,2024-04-19,148
11150,Salzburg,47.8,13.0,1874-01-01,2024-04-18,7
10803,Freiburg,48.0,7.85,1874-01-01,2024-04-21,53
