country_id,indicator_id,value,log_id
1,1,47.8,1
1,2,211.0,2
1,3,87.0,3
1,4,22.0,4
1,5,58.7,5
1,6,147.0,6
1,7,44.4,7
1,8,45.3,8
1,9,39.3,9
1,10,243.0,10
2,1,56.8,11
2,2,182.0,12
2,5,48.6,13
2,6,225.0,14
2,7,29.8,15
2,8,38.0,16
2,9,15.7,17
2,10,362.0,18
4,1,68.4,19
4,2,85.0,20
4,3,51.9,21
4,4,150.0,22
4,5,32.9,23
4,6,307.7,24
4,7,30.4,25
4,8,31.9,26
4,9,29.0,27
4,10,357.0,28
5,1,57.3,29
5,2,177.0,30
5,3,60.7,31
5,4,110.0,32
5,5,77.7,33
5,6,20.0,34
5,7,41.3,35
5,8,36.9,36
5,9,39.0,37
5,10,265.0,38
6,1,70.0,39
6,2,70.2,40
6,3,28.4,41
6,4,218.6,42
6,5,58.6,43
6,6,144.6,44
6,7,72.7,45
6,8,77.2,46
6,9,71.2,47
6,10,51.3,48
7,1,79.0,49
7,2,12.0,50
7,3,16.8,51
7,4,249.0,52
7,5,71.2,53
7,6,60.5,54
7,7,65.1,55
7,8,68.2,56
7,9,57.9,57
7,10,103.0,58
8,1,47.7,59
8,2,212.0,60
8,3,74.4,61
8,4,59.0,62
8,5,69.5,63
8,6,73.0,64
8,7,32.8,65
8,8,30.5,66
8,9,33.7,67
8,10,334.0,68
10,7,49.6,69
10,8,44.4,70
10,9,43.9,71
10,10,211.0,72
11,1,40.2,73
11,2,217.0,74
11,3,94.2,75
11,4,3.0,76
11,5,37.4,77
11,6,294.0,78
11,7,26.4,79
11,8,30.9,80
11,9,15.7,81
11,10,387.0,82
12,1,48.9,83
12,2,207.0,84
12,3,42.7,85
12,4,173.0,86
12,5,48.1,87
12,6,231.0,88
12,7,26.9,89
12,8,26.4,90
12,9,25.2,91
12,10,381.0,92
16,1,61.5,93
16,2,156.0,94
16,3,64.6,95
16,4,94.0,96
16,5,55.9,97
16,6,167.0,98
16,7,36.0,99
16,8,35.4,100
16,9,26.0,101
16,10,302.5,102
18,1,59.6,103
18,2,156.3,104
18,3,52.6,105
18,4,138.2,106
18,5,30.3,107
18,6,316.0,108
18,7,33.9,109
18,8,32.9,110
18,9,25.8,111
18,10,321.9,112
20,1,61.0,113
